西暦,平均気温,降水量,日照時間,スギ花粉飛散量
1992,23.95 ,227.0 ,179.6 ,567.8 
1993,24.35 ,203.0 ,398.4 ,2733.4 
1994,22.35 ,276.0 ,246.0 ,468.6 
1995,27.10 ,37.0 ,504.6 ,5490.5 
1996,24.55 ,397.0 ,375.0 ,237.5 
1997,24.30 ,175.5 ,417.2 ,2323.5 
1998,24.40 ,222.0 ,371.5 ,814.3 
1999,24.25 ,316.0 ,287.4 ,928.8 
2000,25.10 ,211.5 ,378.6 ,3919.5 
2001,25.35 ,155.0 ,458.9 ,3380.7 
2002,25.25 ,201.0 ,473.8 ,2622.1 
2003,25.60 ,249.5 ,419.9 ,1988.4 
2004,22.90 ,216.0 ,264.8 ,348.8 
2005,25.05 ,120.0 ,434.5 ,4272.4 
2006,24.05 ,316.0 ,300.9 ,339.3 
2007,24.70 ,312.0 ,364.6 ,1107.6 
2008,24.25 ,199.5 ,342.5 ,2404.1 
2009,24.80 ,240.5 ,396.0 ,3748.2 